url,image_url,width,height,aspect_ratio,status
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/macam-macam-alergi-pada-anak,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__488744__banner-detail-mobile/macam-macam-alergi-pada-anak-NUTRICLUB-MOBILE.webp,488,325,1.5,OK
https://www.nutriclub.co.id/artikel/kesehatan/1-tahun/alternatif-susu-si-kecil-yang-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__7146__banner-detail-mobile/10.%20Mobile%20Size.webp,360,260,1.38,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/cegah-alergi-si-kecil-dengan-menjaga-keseimbangan-mikrobiota-usus,https://www.nutriclub.co.id/articles/image/image-thumb__3521__banner-detail-mobile/Cegah-Alergi-Si-Kecil-dengan-Menjaga-Keseimbangan-Mikrobiota-Usus-small.pjpeg,220,214,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/nutrisi-tepat-untuk-menurunkan-resiko-anak-alergi,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__2301__banner-detail-mobile/resize_mobile-nutrisi-tepat-untuk-menurunkan-resiko-alergi-si-kecil.webp,334,325,1.03,OK
https://www.nutriclub.co.id/artikel/imunitas/0-3-bulan/kenali-faktor-yang-dapat-meningkatkan-risiko-alergi-pada-anak,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__2304__banner-detail-mobile/resize_mobile-kenali-faktor-yang-dapat-meningkatkan-risiko-alergi-pada-si-kecil.webp,334,325,1.03,OK
https://www.nutriclub.co.id/artikel/kesehatan/1-tahun/manfaat-penambahan-sinbiotik-di-dalam-susu-si-kecil,https://www.nutriclub.co.id/_default_upload_bucket/image-thumb__476668__banner-detail-mobile/manfaat-penambahan-sinbiotik-di-dalam-susu-si-kecil_-nutriclub-mobile.webp,500,250,2.0,OK
https://www.nutriclub.co.id/artikel/kesehatan/1-tahun/nutrisi-tepat-untuk-si-kecil-dengan-alergi-susu-sapi,https://www.nutriclub.co.id/articles/image/image-thumb__728__banner-detail-mobile/nutrisi-tepat-untuk-si-kecil-dengan-alergi-susu-sapi_small.webp,240,190,1.26,OK
https://www.nutriclub.co.id/artikel/imunitas/7-9-bulan/nutrisi-untuk-mengurangi-risiko-alergi-pada-balita,https://www.nutriclub.co.id/articles/image/image-thumb__1604__banner-detail-mobile/nutrisi-untuk-mengurangi-risiko-alergi-pada-balita_small.webp,240,190,1.26,OK
https://www.nutriclub.co.id/artikel/imunitas/1-tahun/panduan-awal-seputar-alergi-susu-sapi,https://www.nutriclub.co.id/articles/image/image-thumb__731__banner-detail-mobile/panduan-awal-seputar-alergi-susu-sapi_small.webp,240,190,1.26,OK
https://www.nutriclub.co.id/artikel/kesehatan/1-tahun/pengganti-susu-sapi-untuk-anak-alergi,https://www.nutriclub.co.id/articles/nutrisi/artikel-balita/image-thumb__4846__banner-detail-mobile/Alternatif%20Pengganti%20Susu%20Sapi%20untuk%20Anak%20Alergi%20berusia%20di%20atas%201%20tahun.webp,700,278,2.52,OK
